municipio,CNES
Abdon Batista,3
Abelardo Luz,14
Agrolandia,9
Agronomica,5
Agua Doce,7
Aguas De Chapeco,6
Aguas Frias,3
Aguas Mornas,6
Alfredo Wagner,7
Anchieta,6
Angelina,5
Anita Garibaldi,4
Anitapolis,3
Antonio Carlos,8
Apiuna,10
Arabuta,4
Araquari,21
Ararangua,24
Armazem,3
Arroio Trinta,5
Arvoredo,3
Ascurra,5
Atalanta,3
Aurora,5
Balneario Arroio Do Silva,9
Balneario Barra Do Sul,5
Balneario Camboriu,34
Balneario Gaivota,9
Balneario Piçarras,18
Balneario Rincao,13
Bandeirante,3
Barra Bonita,3
Barra Velha,19
Bela Vista Do Toldo,10
Belmonte,3
Benedito Novo,8
Biguaçu,40
Blumenau,199
Bocaina Do Sul,3
Bom Jardim Da Serra,3
Bom Jesus,3
Bom Jesus Do Oeste,3
Bom Retiro,7
Bombinhas,13
Botuvera,6
Braço Do Norte,29
Braço Do Trombudo,4
Brunopolis,2
Brusque,68
Caibi,6
Calmon,5
Camboriu,34
Campo Alegre,9
Campo Belo Do Sul,8
Campo Ere,9
Campos Novos,21
Canelinha,14
Canoinhas,17
Capao Alto,3
Capinzal,7
Capivari De Baixo,18
Catanduvas,6
Caxambu Do Sul,4
Caçador,36
Celso Ramos,3
Cerro Negro,3
Chapadao Do Lageado,3
Chapeco,114
Cocal Do Sul,13
Concordia,27
Cordilheira Alta,5
Coronel Freitas,5
Coronel Martins,3
Correia Pinto,7
Corupa,7
Criciuma,102
Cunha Pora,6
Cunhatai,3
Curitibanos,13
Descanso,7
Dionisio Cerqueira,14
Dona Emma,6
Doutor Pedrinho,5
Entre Rios,4
Ermo,4
Erval Velho,5
Faxinal Dos Guedes,9
Flor Do Sertao,4
Florianopolis,357
Formosa Do Sul,3
Forquilhinha,20
Fraiburgo,15
Frei Rogerio,3
Galvao,4
Garopaba,25
Garuva,11
Gaspar,30
Governador Celso Ramos,15
Grao Para,7
Gravatal,10
Guabiruba,6
Guaraciaba,9
Guaramirim,19
Guaruja Do Sul,5
Guatambu,5
Herval D'Oeste,16
Ibiam,3
Ibicare,4
Ibirama,17
Ilhota,12
Imarui,11
Imbituba,35
Imbuia,6
Indaial,29
Iomere,2
Ipira,5
Ipora Do Oeste,6
Ipuaçu,6
Ipumirim,6
Iraceminha,5
Irani,8
Irati,4
Irineopolis,9
Ita,7
Itaiopolis,13
Itajai,71
Itapema,30
Itapiranga,12
Itapoa,7
Ituporanga,17
Içara,30
Jabora,5
Jacinto Machado,6
Jaguaruna,21
Jaragua Do Sul,59
Jardinopolis,3
Joaçaba,20
Joinville,235
Jose Boiteux,5
Jupia,3
Lacerdopolis,3
Lages,93
Laguna,28
Lajeado Grande,4
Laurentino,5
Lauro Muller,13
Lebon Regis,6
Leoberto Leal,5
Lindoia Do Sul,2
Lontras,9
Luiz Alves,11
Luzerna,5
Macieira,3
Mafra,35
Major Gercino,4
Major Vieira,5
Maracaja,5
Maravilha,17
Marema,3
Massaranduba,8
Matos Costa,4
Meleiro,5
Mirim Doce,3
Modelo,3
Mondai,9
Monte Carlo,9
Monte Castelo,6
Morro Da Fumaça,19
Morro Grande,4
Navegantes,29
Nova Erechim,4
Nova Itaberaba,4
Nova Trento,13
Nova Veneza,13
Novo Horizonte,3
Orleans,18
Otacilio Costa,11
Ouro,4
Ouro Verde,3
Paial,3
Painel,2
Palhoça,95
Palma Sola,8
Palmeira,3
Palmitos,9
Papanduva,15
Paraiso,5
Passo De Torres,8
Passos Maia,5
Paulo Lopes,9
Pedras Grandes,4
Penha,18
Peritiba,3
Pescaria Brava,15
Petrolandia,6
Pinhalzinho,16
Pinheiro Preto,4
Piratuba,5
Planalto Alegre,2
Pomerode,20
Ponte Alta,4
Ponte Alta Do Norte,3
Ponte Serrada,9
Porto Belo,19
Porto Uniao,16
Pouso Redondo,12
Praia Grande,6
Presidente Castello Branco,3
Presidente Getulio,13
Presidente Nereu,3
Princesa,3
Quilombo,9
Rancho Queimado,5
Rio Das Antas,4
Rio Do Campo,6
Rio Do Oeste,5
Rio Do Sul,21
Rio Dos Cedros,8
Rio Fortuna,5
Rio Negrinho,21
Rio Rufino,5
Riqueza,5
Rodeio,8
Romelandia,5
Salete,6
Saltinho,5
Salto Veloso,4
Sangao,12
Santa Cecilia,9
Santa Helena,3
Santa Rosa De Lima,3
Santa Rosa Do Sul,10
Santa Terezinha,6
Santa Terezinha Do Progresso,3
Santiago Do Sul,3
Santo Amaro Da Imperatriz,20
Sao Bento Do Sul,46
Sao Bernardino,3
Sao Bonifacio,3
Sao Carlos,8
Sao Cristovao Do Sul,4
Sao Domingos,8
Sao Francisco Do Sul,27
Sao Joao Batista,28
Sao Joao Do Itaperiu,6
Sao Joao Do Oeste,4
Sao Joao Do Sul,7
Sao Joaquim,15
Sao Jose,118
Sao Jose Do Cedro,12
Sao Jose Do Cerrito,6
Sao Lourenço Do Oeste,13
Sao Ludgero,7
Sao Martinho,4
Sao Miguel Da Boa Vista,3
Sao Miguel Do Oeste,25
Sao Pedro De Alcantara,6
Saudades,7
Schroeder,11
Seara,12
Serra Alta,3
Sideropolis,11
Sombrio,19
Sul Brasil,3
Taio,10
Tangara,6
Tigrinhos,3
Tijucas,25
Timbe Do Sul,3
Timbo,24
Timbo Grande,5
Tres Barras,16
Treviso,6
Treze De Maio,8
Treze Tilias,6
Trombudo Central,5
Tubarao,65
Tunapolis,5
Turvo,9
Uniao Do Oeste,3
Urubici,9
Urupema,3
Urussanga,15
Vargeao,4
Vargem,4
Vargem Bonita,5
Vidal Ramos,6
Videira,30
Vitor Meireles,6
Witmarsum,5
Xanxere,15
Xavantina,5
Xaxim,19
Zortea,2
